business_scale,risk_exposure,data_type,potential_loss,annual_revenue,compliance_requirements,premium
Large,High,Non-sensitive,3420885,4411700,no,11292
Large,Medium,Sensitive,2719679,10637160,no,10427
Large,High,Non-sensitive,1482205,11771940,yes,3775
Medium,High,Sensitive,3452769,19429620,yes,14260
Medium,Medium,Non-sensitive,3528263,9026719,no,11045
Medium,Low,Sensitive,1404981,8836934,no,13997
Small,Low,Non-sensitive,1336675,12832970,yes,5321
Small,Medium,Non-sensitive,1022792,18902755,no,5057
Small,Low,Sensitive,3295070,15293483,no,13203
Small,Medium,Non-sensitive,3843518,11377242,no,7792
Large,Medium,Non-sensitive,2731163,1036573,yes,14549
Small,High,Non-sensitive,2425725,4460635,yes,13930
Small,Low,Sensitive,4354874,14003255,yes,12369
Small,Low,Non-sensitive,166009,19438513,yes,10454
Large,Medium,Sensitive,1916181,1626109,yes,12413
Medium,Medium,Non-sensitive,2583990,14985118,no,11666
Medium,Low,Non-sensitive,1397487,12754136,no,10204
Medium,Medium,Sensitive,1509666,17557028,yes,8998
Medium,Low,Non-sensitive,1190867,12160591,yes,12298
Small,High,Sensitive,2320923,1265010,yes,13491
Large,Medium,Sensitive,3108003,4017028,yes,6819
Small,Medium,Non-sensitive,3642462,10369214,no,12813
Large,Low,Non-sensitive,2799661,16951201,no,12346
Large,High,Sensitive,4333519,1123115,no,13940
Medium,High,Sensitive,3778130,6897656,yes,7303
Medium,Low,Sensitive,4865228,16101893,yes,4888
Medium,Medium,Sensitive,519379,14694933,no,13641
Medium,High,Non-sensitive,3284954,3740713,yes,8908
Large,High,Sensitive,1270211,1711030,yes,9463
Large,Medium,Non-sensitive,1816337,10188053,no,4716
Large,High,Non-sensitive,846869,17841215,yes,3676
Small,Low,Non-sensitive,1722982,8555108,no,12818
Small,Medium,Sensitive,1567870,11320908,yes,6615
Large,Low,Sensitive,2072066,19652006,no,14821
Large,High,Non-sensitive,2536819,17905194,no,14063
Small,High,Non-sensitive,2198256,11230983,no,13660
Large,Medium,Non-sensitive,3579699,13526834,no,10084
Medium,High,Non-sensitive,4676461,3788274,no,3854
Medium,Low,Non-sensitive,1790814,12399030,no,8630
Small,Medium,Sensitive,3169551,6048581,yes,12329
Medium,Medium,Sensitive,1489306,16834677,no,14937
Medium,Low,Non-sensitive,4024725,10486597,no,5769
Small,Medium,Sensitive,305834,13352646,yes,11246
Small,High,Sensitive,2862031,11008030,yes,12296
Large,Medium,Sensitive,2331760,10434317,yes,14556
Medium,High,Sensitive,2722464,18146115,no,10471
Small,Low,Sensitive,1675735,2861700,yes,6097
Large,Low,Non-sensitive,3209615,13439079,yes,10301
Small,Low,Sensitive,3889445,15009568,no,12692
Large,Low,Sensitive,4182176,2364095,no,12742
Small,Low,Sensitive,3595666,14768858,no,12983
Medium,Medium,Sensitive,823654,7408867,yes,8629
Small,High,Non-sensitive,502489,13114887,no,8624
Medium,Medium,Non-sensitive,679114,4634559,yes,7040
Large,Medium,Non-sensitive,3189033,6180509,no,7140
Medium,Medium,Sensitive,1290826,19147601,no,9700
Medium,High,Sensitive,4361198,12668674,yes,14928
Small,Medium,Non-sensitive,392123,19117870,yes,9574
Small,Medium,Non-sensitive,4395088,16369020,yes,11385
Small,Medium,Non-sensitive,4231846,12380529,no,3729
Small,Low,Non-sensitive,2985521,5100477,no,5388
Small,High,Sensitive,4690470,7587318,no,3110
Large,High,Sensitive,1945617,2418083,yes,10118
Small,Medium,Non-sensitive,2596535,10043720,no,13783
Small,High,Non-sensitive,3467249,10792301,yes,14227
Small,High,Sensitive,815245,18313361,no,14337
Small,Low,Non-sensitive,2565786,15988224,no,7687
Medium,High,Sensitive,579246,12137763,yes,8547
Medium,High,Non-sensitive,613790,5245969,no,8389
Medium,Low,Sensitive,4396511,16315610,no,4018
Large,Medium,Non-sensitive,2797192,11789529,no,10523
Medium,High,Non-sensitive,1762636,6321190,no,12092
Small,Low,Sensitive,2217354,18724313,no,4629
Medium,Low,Non-sensitive,3351056,19358998,no,13813
Medium,Low,Non-sensitive,435295,6202201,no,7661
Medium,High,Non-sensitive,3319233,6352286,yes,7537
Small,High,Sensitive,2119295,6980192,yes,3761
Large,High,Non-sensitive,150568,11840579,no,11378
Large,Low,Sensitive,662909,11990674,no,13290
Medium,Low,Non-sensitive,4161521,3174771,no,4505
Large,Low,Non-sensitive,712147,8237291,yes,11606
Small,Medium,Non-sensitive,1254812,11899111,no,14432
Large,Medium,Non-sensitive,4344363,4458063,yes,6879
Large,High,Sensitive,460128,9700123,no,12733
Large,Low,Non-sensitive,4200029,16523162,yes,5320
Large,Low,Sensitive,1830897,17266694,yes,13908
Medium,Low,Sensitive,422008,2147397,yes,13950
Small,Medium,Sensitive,3901927,15561951,no,4883
Large,Low,Non-sensitive,1861025,14437549,no,4266
Small,High,Non-sensitive,2528405,19017287,yes,5319
Small,Low,Sensitive,4171183,15102336,yes,5750
Medium,Medium,Non-sensitive,4181999,15812163,yes,13902
Medium,Medium,Non-sensitive,990777,14531868,no,4704
Medium,Medium,Sensitive,964472,18768143,yes,14650
Large,Medium,Non-sensitive,1747135,6744291,yes,9210
Small,Medium,Sensitive,4596487,12574538,yes,9447
Small,Medium,Non-sensitive,3648070,5757963,no,5277
Large,High,Non-sensitive,3010146,5282535,yes,5295
Small,Low,Sensitive,3177541,4377225,yes,4959
Large,Medium,Non-sensitive,1958351,4203309,yes,12117
Small,Low,Non-sensitive,278427,10491744,no,12266
Medium,Low,Sensitive,1626996,11085738,no,6850
Large,High,Sensitive,4053017,6055269,yes,8450
Large,High,Sensitive,1496069,18226165,no,9677
Medium,High,Non-sensitive,3333822,14211472,no,4095
Medium,Medium,Sensitive,692273,15644903,no,4830
Small,High,Non-sensitive,397797,6418022,yes,7773
Small,Low,Sensitive,1175719,3946165,yes,5502
Small,Low,Sensitive,3362955,4334291,yes,8847
Small,High,Non-sensitive,4252402,17930195,no,6211
Large,High,Non-sensitive,4376831,5522763,yes,14381
Small,High,Sensitive,4854494,16394918,yes,4709
Medium,Low,Non-sensitive,652075,14566402,no,8794
Large,Medium,Sensitive,1548128,6267414,no,12790
Large,Low,Non-sensitive,3289330,5439099,yes,10813
Large,Low,Sensitive,3069816,17136343,yes,14106
Small,High,Sensitive,2138304,11562426,yes,5639
Small,Medium,Non-sensitive,4889729,10494259,yes,12122
Medium,Low,Non-sensitive,817711,5278964,yes,12306
Medium,Low,Sensitive,1969385,9502146,yes,6245
Small,Medium,Sensitive,3670577,19692927,no,4564
Small,Low,Non-sensitive,4036807,6921051,yes,3975
Medium,High,Non-sensitive,1805752,10130847,yes,8245
Medium,Low,Sensitive,865948,4846107,yes,3448
Large,Medium,Non-sensitive,1763544,8321188,no,13607
Large,Medium,Non-sensitive,815101,2318220,yes,10410
Small,High,Non-sensitive,4536547,19461976,no,9358
Small,Medium,Non-sensitive,2413586,7324477,yes,4346
Large,Medium,Non-sensitive,4990121,4413058,no,6242
Medium,High,Non-sensitive,240985,4378833,no,12050
Medium,Medium,Sensitive,686620,6358532,no,14348
Medium,Medium,Non-sensitive,3573816,18493586,no,8280
Large,Medium,Non-sensitive,2925948,4142944,yes,11184
Small,Medium,Non-sensitive,3472866,14429597,yes,11345
Large,High,Non-sensitive,3896479,12700051,no,9371
Medium,Medium,Non-sensitive,1622762,11951431,yes,13067
Small,High,Sensitive,4128075,11392904,no,14736
Large,Low,Non-sensitive,3016728,2524263,no,10940
Large,High,Sensitive,3558093,2060625,no,9275
Medium,High,Non-sensitive,758711,14865968,yes,9601
Large,High,Sensitive,1378335,5069070,no,11771
Small,Low,Sensitive,4366719,12813894,yes,11451
Large,Medium,Sensitive,3520510,10874710,yes,3722
Small,Low,Sensitive,2193321,1825632,yes,14819
Medium,High,Non-sensitive,4479217,5237548,no,12841
Large,High,Non-sensitive,3644173,1443086,yes,13426
Large,High,Non-sensitive,3244206,19309716,yes,13630
Medium,Medium,Sensitive,4225614,2937855,no,7953
Small,High,Sensitive,2766161,3553132,no,8219
Medium,Low,Sensitive,3460973,14568429,no,9132
Medium,Medium,Sensitive,2481695,18162133,yes,9144
Large,Low,Sensitive,4999600,12002475,yes,11430
Medium,Low,Sensitive,793787,4948331,no,9510
Small,Medium,Non-sensitive,107973,8721272,no,10790
Large,Low,Non-sensitive,4317758,16525430,no,14307
Small,High,Sensitive,1179996,14536348,yes,12958
Small,Medium,Sensitive,1106717,17268126,no,13337
Medium,High,Non-sensitive,74782,15233838,no,14327
Large,Low,Sensitive,1411927,6532893,yes,10526
Small,Low,Sensitive,664904,9529143,yes,10868
Small,Medium,Non-sensitive,3568695,15462512,no,9124
Small,High,Non-sensitive,1242964,7594418,yes,7736
Large,Medium,Sensitive,994162,8045337,yes,8780
Small,Medium,Sensitive,646915,18102526,yes,3001
Small,High,Non-sensitive,4019127,1458934,yes,9529
Small,Medium,Non-sensitive,1124696,19971227,no,6509
Small,Medium,Sensitive,4535700,19266731,yes,3708
Medium,High,Non-sensitive,2124692,8844894,yes,7915
Large,Low,Non-sensitive,3879556,9214573,yes,9294
Small,Low,Non-sensitive,4655678,11949229,no,14733
Small,Medium,Non-sensitive,2797726,15892570,no,14141
Large,Medium,Sensitive,845866,14308403,yes,7729
Large,Medium,Sensitive,484771,14537375,yes,11218
Large,Medium,Non-sensitive,3361721,18926936,yes,5897
Small,Low,Sensitive,1204940,5295028,yes,4239
Small,Medium,Sensitive,173680,13116661,no,7952
Medium,High,Sensitive,1349646,13922646,no,10974
Medium,High,Sensitive,2718622,14390266,no,8922
Large,Medium,Non-sensitive,4079355,10821678,no,4858
Small,Medium,Non-sensitive,932791,10126273,no,10233
Medium,Low,Sensitive,1941379,19905935,no,9031
Large,High,Sensitive,695050,15250266,yes,14322
Large,Low,Non-sensitive,3959524,1683404,yes,13912
Large,High,Non-sensitive,1444198,9694127,yes,3478
Small,Medium,Non-sensitive,565861,15815355,yes,5245
Small,High,Non-sensitive,4407647,17867679,no,5954
Large,High,Non-sensitive,2106202,7612305,yes,10667
Medium,Low,Non-sensitive,4616301,3246863,yes,4960
Large,Low,Non-sensitive,4700476,7157094,no,3493
Small,Low,Non-sensitive,2946409,10793185,yes,11531
Small,Medium,Sensitive,3427373,10650396,no,13943
Small,High,Non-sensitive,3921302,16030212,yes,11512
Large,Low,Sensitive,3180234,3452496,no,11303
Large,Low,Sensitive,461346,17798719,no,4888
Large,Low,Non-sensitive,4616710,5524902,no,11321
Small,Low,Sensitive,2156319,4751310,yes,11522
Large,High,Sensitive,2073437,16157435,no,11863
Small,Low,Sensitive,2038020,11078244,no,8999
Large,High,Non-sensitive,1777850,19997198,no,14821
Medium,Medium,Sensitive,4396804,10862902,no,5505
Small,Low,Non-sensitive,3197610,7072852,no,3213
Large,Low,Sensitive,3169628,1563072,no,4169
Small,High,Non-sensitive,2952336,1846468,no,12251
Small,Low,Non-sensitive,2306451,19389647,no,8461
Medium,Low,Non-sensitive,3224078,2443940,yes,7107
Medium,Medium,Sensitive,3317043,14987518,no,7203
Large,Low,Sensitive,3625431,17089138,yes,9825
Large,Medium,Non-sensitive,2637715,13947696,no,3820
Small,Low,Non-sensitive,258971,19099251,yes,12210
Large,High,Non-sensitive,1743260,19276493,yes,7476
Large,High,Non-sensitive,1791155,8942318,no,9935
Large,High,Sensitive,2917334,9101379,no,3294
Medium,Low,Sensitive,2649858,12030670,no,9706
Large,Low,Non-sensitive,3867191,14510409,yes,14019
Large,High,Sensitive,1359362,2873090,yes,13583
Small,Medium,Sensitive,2065976,10953565,yes,13414
Small,Medium,Non-sensitive,4412673,7203287,yes,3140
Small,High,Non-sensitive,4775038,18382045,yes,3539
Large,Medium,Non-sensitive,1149085,3775218,yes,14761
Small,Low,Non-sensitive,3780810,1581884,no,7861
Large,Low,Non-sensitive,2906053,7010173,yes,14309
Medium,Medium,Sensitive,4841786,19231802,yes,8391
Large,Medium,Sensitive,4320413,7347696,yes,8580
Large,High,Sensitive,4323613,19077847,no,10261
Large,High,Sensitive,759036,12528015,no,13345
Medium,High,Non-sensitive,655042,11043537,yes,3083
Medium,High,Sensitive,1425509,9142391,yes,8806
Medium,High,Sensitive,726713,16072486,no,13197
Small,Low,Non-sensitive,2991241,17243769,no,3507
Large,High,Non-sensitive,3514475,4538170,yes,8725
Large,Medium,Non-sensitive,2393641,18568076,no,3266
Medium,Low,Non-sensitive,3045630,1208832,yes,9899
Medium,High,Sensitive,2205251,15669867,no,7995
Small,Low,Sensitive,3285027,18726897,yes,4967
Medium,Medium,Non-sensitive,769412,4313216,no,3909
Medium,Medium,Sensitive,338459,4134928,no,12897
Small,Low,Non-sensitive,2253448,13970722,no,12470
Small,Low,Sensitive,2636724,3782427,no,13643
Large,Medium,Sensitive,1018142,9507562,yes,11903
Large,Low,Non-sensitive,1154103,4456050,no,4604
Small,Medium,Sensitive,3987817,4710855,yes,14768
Medium,Medium,Sensitive,2404522,8017442,no,13799
Large,Medium,Sensitive,370853,13350948,no,11052
Small,High,Non-sensitive,4384709,7999542,yes,4442
Small,High,Sensitive,2432041,1389561,yes,5857
Medium,High,Sensitive,2340662,5626018,no,14974
Medium,Low,Sensitive,2104303,2649764,no,8995
Medium,High,Non-sensitive,3073256,8795479,yes,7911
Small,Medium,Sensitive,2318325,2678151,no,5485
Small,Low,Sensitive,2199786,11294293,yes,5052
Medium,Low,Non-sensitive,1402161,17993369,no,12812
Large,Low,Non-sensitive,3416571,17795821,yes,11652
Medium,Low,Non-sensitive,1301691,2556279,no,8936
Medium,Low,Non-sensitive,3524417,9421177,no,11718
Medium,High,Non-sensitive,3924098,5851914,yes,4053
Medium,Low,Sensitive,3272822,4689567,no,7314
Small,High,Sensitive,182398,17975128,yes,14576
Small,Low,Sensitive,3370792,6122086,no,9205
Medium,Medium,Sensitive,3291059,3683334,no,12507
Medium,Medium,Non-sensitive,2885988,13485927,no,4389
Medium,Low,Non-sensitive,435855,14508771,no,14727
Medium,Low,Non-sensitive,3712916,18312280,no,12077
Medium,High,Sensitive,2984031,2643255,yes,4876
Large,Low,Sensitive,3640268,9240437,yes,13678
Large,Low,Sensitive,656011,13785703,no,5122
Small,High,Non-sensitive,2753852,18263954,no,5036
Small,Low,Sensitive,3132124,4268127,no,13675
Large,High,Non-sensitive,547983,9323036,no,6898
Small,Medium,Non-sensitive,2293792,18311687,no,14249
Medium,High,Non-sensitive,3464035,17966601,no,5537
Medium,Medium,Sensitive,4141496,9354077,no,3669
Large,High,Non-sensitive,4852805,2370600,no,13076
Small,Medium,Non-sensitive,4710456,3544941,yes,12196
Large,Low,Sensitive,4999611,4977662,no,7466
Large,Medium,Non-sensitive,3662847,17403209,no,12062
Small,Medium,Sensitive,565854,2331075,no,11815
Large,Low,Sensitive,1750382,15894687,yes,14636
Large,Medium,Sensitive,4345353,14056116,yes,6126
Medium,High,Non-sensitive,4753861,1671692,yes,8848
Large,Medium,Non-sensitive,4965640,5571377,yes,9716
Large,Medium,Non-sensitive,3453992,8558809,no,12762
Large,Medium,Non-sensitive,4330814,7299281,no,3081
Large,High,Sensitive,2046321,17825288,no,12797
Medium,High,Non-sensitive,3769808,11759851,yes,9471
Medium,Low,Sensitive,4087692,7492655,yes,3127
Medium,Medium,Non-sensitive,3706684,4175559,yes,11880
Medium,High,Non-sensitive,3943050,13924964,yes,14568
Small,High,Non-sensitive,3501037,15826683,yes,7937
Medium,High,Sensitive,1955686,16615834,yes,14319
Small,Medium,Sensitive,1521950,15835490,no,8985
Large,High,Non-sensitive,4718411,18850472,no,4041
Large,Medium,Sensitive,4673820,16111538,yes,6756
Large,High,Non-sensitive,1096709,10467874,no,9233
Small,High,Sensitive,4590263,14523160,yes,4939
Large,High,Non-sensitive,1314552,3079626,yes,3147
Medium,Low,Sensitive,59833,13749775,yes,3388
Small,Low,Non-sensitive,1632669,7634527,yes,5554
Large,Medium,Sensitive,3617397,18832456,yes,3328
Large,Low,Non-sensitive,1350389,17191627,yes,8420
Medium,Medium,Non-sensitive,2478086,15829843,no,14273
Medium,High,Sensitive,2392690,1100145,yes,10837
Small,High,Sensitive,660226,10306965,no,10945
Medium,Low,Non-sensitive,4882112,12081351,yes,5396
Large,Medium,Sensitive,2547678,15263718,yes,8665
Small,Low,Sensitive,3499880,14081358,yes,12307
Small,Low,Non-sensitive,1208129,11941238,no,12614
Medium,Medium,Non-sensitive,2370294,8500079,yes,6181
Small,High,Non-sensitive,750644,16251131,yes,8734
Medium,Low,Sensitive,2141151,12298814,yes,11036
Medium,High,Non-sensitive,4897582,12446732,yes,7359
Medium,Medium,Non-sensitive,4454334,6347942,yes,4020
Small,High,Non-sensitive,4717239,9135639,yes,5844
Medium,High,Non-sensitive,4966353,10920546,no,4853
Small,Medium,Sensitive,1307814,1634499,no,5973
Medium,Low,Non-sensitive,4065104,7006780,no,7601
Medium,Medium,Sensitive,4770736,10808531,yes,3841
Large,Low,Sensitive,1188526,19440860,no,13391
Large,Low,Non-sensitive,87006,13439638,yes,11741
Medium,High,Non-sensitive,3486765,1295201,no,5965
Large,Medium,Non-sensitive,3815352,17787394,yes,10359
Large,Low,Sensitive,3110061,16977626,yes,12289
Large,High,Sensitive,1740108,9106439,yes,6806
Small,High,Non-sensitive,3937917,4214073,no,4794
Large,Low,Non-sensitive,3740849,19785282,no,3943
Small,High,Non-sensitive,3199438,5007135,no,7185
Large,Low,Sensitive,1799600,6086396,yes,10655
Medium,Low,Sensitive,1297953,16536392,yes,12655
Small,Medium,Non-sensitive,2753329,16876233,no,10634
Large,Low,Non-sensitive,3420156,12325244,no,5122
Medium,Medium,Non-sensitive,2516871,19876108,yes,6157
Small,High,Sensitive,4751760,9583164,no,11809
Small,High,Non-sensitive,2153781,14663770,yes,12254
Small,High,Sensitive,3616409,3784174,yes,12767
Large,High,Sensitive,2378286,2478619,yes,7341
Large,Medium,Non-sensitive,1851313,19745409,no,9508
Medium,Medium,Non-sensitive,3971119,9065779,yes,11934
Small,High,Non-sensitive,1351777,17416859,no,13236
Medium,Low,Sensitive,3350406,11883397,no,3608
Large,High,Sensitive,4818138,5129246,yes,5759
Medium,High,Non-sensitive,3783018,11605980,yes,4944
Medium,High,Sensitive,1532452,19890648,yes,4287
Small,Medium,Sensitive,4874863,6248747,yes,3608
Medium,High,Sensitive,714935,15567238,no,4052
Large,Low,Sensitive,4975150,14304264,no,13820
Small,Medium,Sensitive,4316036,9247727,yes,3156
Medium,Medium,Sensitive,4297214,8650017,yes,14939
Medium,High,Sensitive,2284442,11678112,yes,3072
Medium,Medium,Non-sensitive,2205335,11987792,yes,8214
Large,High,Non-sensitive,1275935,17284687,no,12986
Small,High,Sensitive,529123,18523233,yes,10136
Medium,High,Non-sensitive,1928878,19666072,yes,9059
Small,Low,Sensitive,2430102,4825476,no,4232
Medium,High,Non-sensitive,4780786,19215458,no,6225
Small,Low,Non-sensitive,4561675,16882613,no,4232
Medium,Low,Non-sensitive,4548243,12453069,yes,11831
Medium,High,Non-sensitive,3030905,13231053,yes,11767
Small,Low,Non-sensitive,2814459,2760924,no,6780
Large,High,Sensitive,628884,16392149,no,8566
Large,Medium,Non-sensitive,2436171,15215156,no,8525
Large,Medium,Sensitive,994235,17429876,yes,14860
Large,Low,Sensitive,4835274,1829528,yes,11437
Large,Low,Sensitive,3116767,6422085,no,4853
Large,Medium,Sensitive,1086576,8777565,yes,10894
Small,High,Non-sensitive,2054529,18286498,no,10882
Medium,Medium,Sensitive,1750419,11966325,yes,3727
Medium,High,Non-sensitive,1676830,5269106,no,3919
Large,High,Sensitive,2263621,7250886,no,5549
Medium,Medium,Non-sensitive,3602705,8383231,yes,6681
Large,Medium,Non-sensitive,2787816,16543397,no,12524
Large,Low,Sensitive,3243505,13393009,yes,7591
Medium,Low,Non-sensitive,3429271,3144086,yes,8849
Small,Medium,Non-sensitive,3483019,1704734,yes,9923
Medium,Medium,Non-sensitive,4121183,15693591,no,12504
Small,Low,Sensitive,2677888,14475524,no,3556
Small,High,Non-sensitive,2630684,8661561,yes,7144
Medium,Medium,Non-sensitive,2081891,13260370,no,7866
Medium,High,Non-sensitive,1503454,15593631,yes,9432
Small,High,Non-sensitive,3959793,11168469,no,7579
Small,High,Sensitive,2185771,1270907,no,14303
Small,High,Non-sensitive,1623992,10440594,yes,9832
Medium,Low,Non-sensitive,1874733,6048443,yes,7555
Medium,Low,Non-sensitive,2449644,6827048,yes,4730
Large,Medium,Sensitive,676338,9146324,no,6223
Large,Medium,Sensitive,1179428,11265148,yes,6984
Large,Low,Sensitive,4937941,14032929,yes,8391
Small,High,Non-sensitive,1382222,3881765,yes,8338
Medium,Medium,Sensitive,4602549,11544906,no,14847
Large,Medium,Non-sensitive,1672400,11702996,no,11264
Large,Medium,Non-sensitive,4713973,3095005,yes,7064
Small,High,Sensitive,2124506,16872842,yes,10136
Small,Medium,Sensitive,2732936,5956417,yes,10158
Small,High,Non-sensitive,2535788,8954711,no,3539
Large,Medium,Non-sensitive,1186846,9464557,yes,10810
Large,High,Non-sensitive,4519595,2612029,yes,13984
Large,Medium,Sensitive,3636243,2726925,no,3809
Small,High,Sensitive,1159694,13084164,yes,13573
Large,Medium,Sensitive,1262409,17794845,yes,5591
Medium,Medium,Non-sensitive,3295619,1393056,no,5915
Large,Low,Sensitive,2302900,8683432,yes,12872
Small,High,Non-sensitive,627259,11287307,no,4199
Small,Medium,Sensitive,2094559,9322654,yes,12928
Large,Medium,Sensitive,3831340,9931650,yes,4531
Large,Low,Non-sensitive,88356,14501150,no,6283
Medium,Medium,Sensitive,4048676,16788958,no,3286
Small,Medium,Sensitive,2994608,3020610,yes,14395
Small,Medium,Non-sensitive,3787791,1152797,yes,12355
Small,High,Non-sensitive,4129139,6421487,yes,7565
Small,Low,Sensitive,1612586,4977091,no,9388
Small,Low,Non-sensitive,4654253,17231696,no,5235
Small,Low,Sensitive,3562692,11056113,yes,5900
Medium,Low,Sensitive,1288533,13672147,yes,10331
Large,Medium,Non-sensitive,1310391,7637000,no,13400
Large,Low,Sensitive,3909414,7174889,yes,10209
Medium,Low,Non-sensitive,653575,10029698,yes,5385
Small,Low,Sensitive,3568649,18836895,no,6152
Large,Medium,Non-sensitive,2973554,13014551,yes,11725
Small,High,Non-sensitive,1380376,2792688,yes,6237
Medium,Medium,Sensitive,3046109,12465505,no,11152
Small,High,Sensitive,3218575,13377793,no,13889
Small,Low,Non-sensitive,2618418,6619602,yes,10871
Small,Low,Non-sensitive,4620520,13307018,yes,3093
Large,Low,Sensitive,1801156,16936172,yes,6837
Medium,High,Non-sensitive,1545590,18476207,no,10051
Large,Low,Sensitive,1837641,15159910,yes,5976
Medium,Low,Non-sensitive,3239716,14678402,yes,14268
Large,High,Sensitive,3825123,8898396,yes,13332
Large,High,Sensitive,3736015,7594877,no,7453
Large,Low,Non-sensitive,361336,16336638,no,10586
Small,Medium,Non-sensitive,4868929,10670236,no,4516
Large,Medium,Non-sensitive,2515372,2557132,no,5502
Large,Low,Sensitive,467786,3603970,yes,8977
Small,Low,Sensitive,4389835,4086070,no,6629
Large,Low,Sensitive,2608185,4464250,no,12297
Large,High,Non-sensitive,2740081,6650237,yes,8241
Medium,Low,Non-sensitive,3721888,9508741,no,7173
Small,Medium,Sensitive,1650852,18885291,no,6946
Small,High,Non-sensitive,1829164,18249236,yes,14437
Large,Medium,Non-sensitive,3216627,1861788,yes,4932
Medium,Low,Sensitive,2589501,4108302,yes,7426
Medium,Low,Non-sensitive,2644518,3806887,yes,14748
Medium,High,Sensitive,295641,14647312,yes,6578
Medium,Low,Sensitive,326416,1608162,no,9311
Medium,Medium,Non-sensitive,4776122,5559858,yes,13901
Large,Medium,Non-sensitive,557209,12926677,no,4709
Medium,Low,Sensitive,945613,10584445,yes,12579
Small,Low,Sensitive,4942312,10147993,no,13904
Large,Low,Non-sensitive,3582399,16618179,yes,7213
Medium,Low,Sensitive,2600481,17589724,no,12649
Large,Low,Non-sensitive,2719422,3104954,yes,6889
Small,High,Non-sensitive,423071,6186402,no,14307
Medium,Low,Sensitive,1366226,16500136,yes,14481
Medium,Medium,Non-sensitive,3723183,17797959,no,11954
Large,Low,Non-sensitive,2891800,7056606,yes,4314
Small,Low,Non-sensitive,4661904,5686006,yes,12808
Medium,High,Sensitive,727474,1683076,no,10344
Large,High,Non-sensitive,4085218,6020759,yes,9989
Large,High,Sensitive,3949770,13611863,yes,6538
Large,Medium,Sensitive,4082690,4543154,no,11779
Large,High,Sensitive,860694,12639871,yes,5922
Medium,High,Non-sensitive,1192711,18400930,no,11363
Large,Low,Sensitive,2229371,7989063,no,3382
Large,Low,Sensitive,2596202,11782644,yes,11628
Small,High,Non-sensitive,2529009,11059086,yes,10730
Large,Medium,Sensitive,3427592,18823719,no,6282
Large,Medium,Sensitive,4988860,1386713,no,4576
Large,Medium,Non-sensitive,2949644,6882910,no,12019
Medium,High,Sensitive,2303338,17969231,no,5113
Small,High,Sensitive,547855,14798070,no,5277
Medium,Medium,Sensitive,1152295,18973579,no,7797
Medium,Medium,Sensitive,786760,10535673,yes,10691
Medium,Medium,Non-sensitive,3399412,5730746,yes,9561
Large,Medium,Non-sensitive,2028224,5039699,yes,12210
